source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orchid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orchid,other_person,other_person_orchid,ship_date
EMO BON VB 210621 Wa 3µm (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,1,13.0,1.0,3-9999,9999.0,3.0,Y,Niskin,WaSOP 1,bleach,113.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,2021-10-12
EMO BON VB 210621 Wa 3µm (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,1,13.0,1.0,3-9999,9999.0,3.0,Y,Niskin,WaSOP 1,bleach,113.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,2021-10-12
EMO BON VB 210621 Wa 3µm blank ,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,,10.0,1.0,3-9999,9999.0,3.0,Y,,WaSOP 1,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,
EMO BON VB 210621 Wa 0.2µm (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,1,13.0,1.0,0.2-3,3.0,0.2,Y,Niskin,WaSOP 1,bleach,113.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,2021-10-12
EMO BON VB 210621 Wa 0.2µm (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,1,13.0,1.0,0.2-3,3.0,0.2,Y,Niskin,WaSOP 1,bleach,113.0,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,2021-10-12
EMO BON VB 210621 Wa 0.2µm blank ,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,,10.0,1.0,0.2-3,3.0,0.2,Y,,WaSOP 1,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,
EMO BON VB 210621 Wa 20µm (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,0-50,,,10-20,20.0,10.0,N,20µm WP2 net,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,
EMO BON VB 210621 Wa 20µm (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,0-50,,,10-20,20.0,10.0,N,20µm WP2 net,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,
EMO BON VB 210621 Wa 20µm (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,0-50,,,10-20,20.0,10.0,N,20µm WP2 net,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,
EMO BON VB 210621 Wa 20µm (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-06-21T11:00+02:00,VB 210621 Wa,Louis Caray--Counil,,,0-50,,,10-20,20.0,10.0,N,20µm WP2 net,WaSOP 2,bleach,,2021-06-21,-80°C galeriens 1st shelf left,-80.0,Louis Caray--Counil,,Cecile Fauvelot,https://orcid.org/0000-0003-0806-1222,
